symptoms,urgency
Since yesterday I have severe head injury with loss of consciousness after waking up and it started recently.,High
For the past few days I have possible stroke that is getting worse and I am looking for medical advice.,High
I have repeated vomiting with no improvement and it started recently.,Moderate
I need help with fever with body aches for two days and it is bothering me.,Moderate
I need help with small cut that has stopped bleeding since this morning and I would like to speak to a doctor.,Low
I need help with severe pain mostly at night and it is bothering me.,Moderate
Symptoms include blocked nose that is getting worse and I want to know what to do.,Low
I feel mild ear discomfort and I want to know what to do.,Low
I have been having very severe chest pressure and it has not improved.,High
I need help with small cut that has stopped bleeding mostly at night and it has not improved.,Low
I am experiencing mild back ache mostly at night and I would like to speak to a doctor.,Low
The main problem is worsening cough with fever and I would like to speak to a doctor.,Moderate
I have been having persistent vomiting mostly at night and I am looking for medical advice.,Moderate
Patient reports slight tiredness with no improvement and it is bothering me.,Low
I need help with possible stroke since this morning and I want to know what to do.,High
Patient reports runny nose since this morning and I am looking for medical advice.,Low
Since yesterday I have blue lips with breathing difficulty for two days and I am looking for medical advice.,High
I am experiencing dehydration with no improvement and I want to know what to do.,Moderate
I need help with blue lips with breathing difficulty and I am worried and I am looking for medical advice.,High
Since yesterday I have small bruise that is getting worse and it has not improved.,Low
I am experiencing severe allergic reaction with breathing difficulty after waking up and I would like to speak to a doctor.,High
The main problem is runny nose since this morning and I would like to speak to a doctor.,Low
The main problem is face drooping with weak arm after waking up and I want to know what to do.,High
Patient reports blocked nose and it is bothering me.,Low
I have worsening asthma symptoms without severe breathing difficulty since this morning and I am looking for medical advice.,Moderate
The main problem is minor ankle pain after waking up and I am looking for medical advice.,Low
Patient reports collapsed and unresponsive after waking up and it is bothering me.,High
I have dizziness that is getting worse and it started recently.,Moderate
I feel slight tiredness that is getting worse and it has not improved.,Low
I am experiencing itchy eyes for two days and it is bothering me.,Low
I have infected wound and I am worried and I am looking for medical advice.,Moderate
Since yesterday I have difficulty breathing after waking up and I am looking for medical advice.,High
For the past few days I have chest pain and it started recently.,High
I am experiencing repeated vomiting during the day and I would like to speak to a doctor.,Moderate
I need help with face drooping with weak arm since this morning and I want to know what to do.,High
I am experiencing minor muscle ache mostly at night and I want to know what to do.,Low
Patient reports severe pain since this morning and it is bothering me.,Moderate
The main problem is persistent vomiting that is getting worse and I want to know what to do.,Moderate
I have severe pain and need advice and it has not improved.,Moderate
I am experiencing face drooping with weak arm during the day and it started recently.,High
I have uncontrolled bleeding mostly at night and I am looking for medical advice.,High
I need help with mild stomach discomfort and I am worried and I am looking for medical advice.,Low
Symptoms include persistent diarrhoea for two days and I want to know what to do.,Moderate
I need help with uncontrolled bleeding since this morning and I want to know what to do.,High
I am experiencing small cut that has stopped bleeding for two days and it is bothering me.,Low
Patient reports very severe chest pressure for two days and it has not improved.,High
I need help with struggling to breathe during the day and I would like to speak to a doctor.,High
I need help with medicine refill request since this morning and it has not improved.,Low
I have been having severe pain for two days and it is bothering me.,Moderate
The main problem is sudden severe weakness on one side mostly at night and I want to know what to do.,High
I have been having cannot breathe properly and need advice and it started recently.,High
I need help with fever with body aches and I am worried and I would like to speak to a doctor.,Moderate
The main problem is persistent diarrhoea during the day and it has not improved.,Moderate
The main problem is unconscious mostly at night and it started recently.,High
Since yesterday I have chest pain with no improvement and it is bothering me.,High
The main problem is moderate abdominal pain for two days and I would like to speak to a doctor.,Moderate
I feel minor muscle ache since this morning and it started recently.,Low
I need help with sudden inability to speak that is getting worse and I would like to speak to a doctor.,High
The main problem is sudden severe weakness on one side mostly at night and I want to know what to do.,High
Patient reports unconscious mostly at night and it is bothering me.,High
For the past few days I have small bruise during the day and I want to know what to do.,Low
I feel slight tiredness and I am worried and it started recently.,Low
Symptoms include medicine refill request that is getting worse and I am looking for medical advice.,Low
I have been having minor muscle ache mostly at night and I would like to speak to a doctor.,Low
I am experiencing worsening chronic illness symptoms after waking up and it is bothering me.,Moderate
The main problem is painful urination during the day and it has not improved.,Moderate
I need help with moderate headache with dizziness for two days and I am looking for medical advice.,Moderate
The main problem is cannot breathe properly after waking up and I would like to speak to a doctor.,High
I have mild ear discomfort during the day and it is bothering me.,Low
I need help with coughing blood with breathing difficulty since this morning and I would like to speak to a doctor.,High
For the past few days I have painful urination that is getting worse and I want to know what to do.,Moderate
I feel sudden severe weakness on one side with no improvement and it is bothering me.,High
I have been having mild headache and I am worried and it has not improved.,Low
Since yesterday I have infected wound after waking up and I am looking for medical advice.,Moderate
I have been having sudden severe weakness on one side and need advice and I want to know what to do.,High
Patient reports sudden inability to speak and I am worried and it is bothering me.,High
I need help with uncontrolled bleeding since this morning and it is bothering me.,High
I have small cough and need advice and I am looking for medical advice.,Low
Patient reports small bruise and I am looking for medical advice.,Low
Symptoms include worsening asthma symptoms without severe breathing difficulty for two days and it is bothering me.,Moderate
Since yesterday I have mild cold symptoms since this morning and it has not improved.,Low
For the past few days I have persistent diarrhoea and need advice and I want to know what to do.,Moderate
Patient reports mild headache and it is bothering me.,Low
I am experiencing dizziness with no improvement and it has not improved.,Moderate
I am experiencing choking and cannot breathe that is getting worse and it has not improved.,High
Symptoms include blue lips with breathing difficulty during the day and I would like to speak to a doctor.,High
For the past few days I have heavy bleeding and need advice and I am looking for medical advice.,High
Since yesterday I have mild cold symptoms for two days and I want to know what to do.,Low
The main problem is struggling to breathe and need advice and I want to know what to do.,High
I am experiencing possible stroke and it started recently.,High
I feel difficulty breathing and I am looking for medical advice.,High
I need help with seizure that is getting worse and it is bothering me.,High
I have been having mild sore throat since this morning and I would like to speak to a doctor.,Low
I have repeat prescription request since this morning and it is bothering me.,Low
Symptoms include suspected infection with no improvement and it started recently.,Moderate
The main problem is sudden inability to speak that is getting worse and I would like to speak to a doctor.,High
The main problem is worsening asthma symptoms without severe breathing difficulty after waking up and I am looking for medical advice.,Moderate
Patient reports painful urination that is getting worse and it has not improved.,Moderate
I feel chest pain since this morning and I would like to speak to a doctor.,High
I need help with repeat prescription request and I am worried and I would like to speak to a doctor.,Low
The main problem is mild stomach discomfort with no improvement and I am looking for medical advice.,Low
I have been having slight tiredness after waking up and it started recently.,Low
Patient reports high fever for two days and it started recently.,Moderate
Symptoms include slight nausea and I am worried and it has not improved.,Low
I am experiencing dehydration and need advice and I am looking for medical advice.,Moderate
I feel worsening chronic illness symptoms and I am worried and it is bothering me.,Moderate
Symptoms include mild cold symptoms with no improvement and I want to know what to do.,Low
For the past few days I have runny nose that is getting worse and I want to know what to do.,Low
I have dizziness and need advice and it has not improved.,Moderate
I have been having unconscious that is getting worse and it has not improved.,High
I need help with very severe chest pressure during the day and I am looking for medical advice.,High
I feel severe allergic reaction with breathing difficulty with no improvement and it started recently.,High
The main problem is itchy eyes with no improvement and I would like to speak to a doctor.,Low
I have mild stomach discomfort since this morning and I want to know what to do.,Low
The main problem is infected wound with no improvement and it started recently.,Moderate
I am experiencing unconscious and I am worried and it has not improved.,High
I need help with possible stroke after waking up and it started recently.,High
The main problem is fever lasting several days with no improvement and it is bothering me.,Moderate
I have been having choking and cannot breathe that is getting worse and it is bothering me.,High
For the past few days I have slight tiredness during the day and I would like to speak to a doctor.,Low
Since yesterday I have small cough and I am worried and it is bothering me.,Low
I need help with cannot breathe properly and I am worried and it started recently.,High
Patient reports heavy bleeding that is getting worse and it has not improved.,High
The main problem is heavy bleeding and I am worried and it started recently.,High
I feel painful urination and need advice and I am looking for medical advice.,Moderate
Since yesterday I have itchy eyes and it is bothering me.,Low
I need help with slight nausea mostly at night and I want to know what to do.,Low
Patient reports worsening chronic illness symptoms and I want to know what to do.,Moderate
Symptoms include medicine refill request during the day and it has not improved.,Low
The main problem is moderate shortness of breath and need advice and it has not improved.,Moderate
For the past few days I have face drooping with weak arm and it has not improved.,High
I feel mild sore throat and I am worried and it is bothering me.,Low
Since yesterday I have continuous seizure after waking up and I am looking for medical advice.,High
For the past few days I have mild cough with no improvement and I would like to speak to a doctor.,Low
For the past few days I have mild cold symptoms and I would like to speak to a doctor.,Low
I am experiencing severe head injury with loss of consciousness since this morning and it started recently.,High
For the past few days I have severe allergic reaction with breathing difficulty with no improvement and it is bothering me.,High
Since yesterday I have mild ear discomfort and it is bothering me.,Low
For the past few days I have small cough and need advice and it has not improved.,Low
Patient reports worsening cough with fever that is getting worse and I would like to speak to a doctor.,Moderate
Patient reports small cut that has stopped bleeding since this morning and it is bothering me.,Low
I need help with persistent ear pain with fever and it started recently.,Moderate
I feel coughing blood with breathing difficulty during the day and it started recently.,High
Since yesterday I have persistent vomiting for two days and it started recently.,Moderate
Since yesterday I have sudden inability to speak with no improvement and I am looking for medical advice.,High
I need help with minor rash during the day and it started recently.,Low
The main problem is minor rash and need advice and it started recently.,Low
I need help with fever lasting several days that is getting worse and it started recently.,Moderate
Symptoms include persistent diarrhoea that is getting worse and it has not improved.,Moderate
Patient reports mild cold symptoms during the day and I want to know what to do.,Low
I have been having continuous seizure mostly at night and it has not improved.,High
I have been having seizure and I am worried and it started recently.,High
I need help with runny nose mostly at night and I want to know what to do.,Low
I need help with moderate shortness of breath and need advice and it started recently.,Moderate
For the past few days I have uncontrolled bleeding and I am worried and it is bothering me.,High
Since yesterday I have dizziness with no improvement and I would like to speak to a doctor.,Moderate
Since yesterday I have minor rash during the day and I want to know what to do.,Low
For the past few days I have choking and cannot breathe and I am worried and I am looking for medical advice.,High
I have mild back ache and I am worried and I would like to speak to a doctor.,Low
I am experiencing mild sore throat mostly at night and it is bothering me.,Low
I have been having minor ankle pain with no improvement and it is bothering me.,Low
Symptoms include mild ear discomfort that is getting worse and it has not improved.,Low
I need help with dehydration and I am worried and it has not improved.,Moderate
I have been having persistent ear pain with fever with no improvement and I am looking for medical advice.,Moderate
The main problem is minor ankle pain that is getting worse and I am looking for medical advice.,Low
I need help with choking and cannot breathe since this morning and it is bothering me.,High
I feel small cough and it has not improved.,Low
I am experiencing severe pain mostly at night and I want to know what to do.,Moderate
I feel medicine refill request after waking up and I would like to speak to a doctor.,Low
Since yesterday I have mild headache since this morning and I would like to speak to a doctor.,Low
Symptoms include persistent ear pain with fever after waking up and it has not improved.,Moderate
Symptoms include chest pain since this morning and it is bothering me.,High
I have been having severe head injury with loss of consciousness during the day and I would like to speak to a doctor.,High
Symptoms include dizziness since this morning and it started recently.,Moderate
For the past few days I have cannot breathe properly that is getting worse and I would like to speak to a doctor.,High
For the past few days I have moderate abdominal pain that is getting worse and I am looking for medical advice.,Moderate
I have repeated vomiting with no improvement and I would like to speak to a doctor.,Moderate
I need help with mild back ache and I want to know what to do.,Low
I need help with mild cough for two days and it started recently.,Low
For the past few days I have blocked nose and I am worried and it is bothering me.,Low
I have been having blue lips with breathing difficulty mostly at night and it is bothering me.,High
The main problem is mild sore throat that is getting worse and it is bothering me.,Low
The main problem is slight nausea for two days and it started recently.,Low
Symptoms include worsening chronic illness symptoms and I am worried and I want to know what to do.,Moderate
I need help with severe head injury with loss of consciousness for two days and I am looking for medical advice.,High
The main problem is small cut that has stopped bleeding and I am worried and I would like to speak to a doctor.,Low
Patient reports itchy eyes and I want to know what to do.,Low
Symptoms include medicine refill request since this morning and it started recently.,Low
I need help with heavy bleeding after waking up and I want to know what to do.,High
For the past few days I have coughing blood with breathing difficulty during the day and I want to know what to do.,High
I feel swollen painful joint and need advice and I would like to speak to a doctor.,Moderate
I feel dizziness during the day and I would like to speak to a doctor.,Moderate
I need help with swollen painful joint since this morning and it is bothering me.,Moderate
I am experiencing very severe chest pressure and I am looking for medical advice.,High
The main problem is itchy eyes during the day and I want to know what to do.,Low
For the past few days I have mild cold symptoms and I am worried and I would like to speak to a doctor.,Low
Since yesterday I have face drooping with weak arm with no improvement and I would like to speak to a doctor.,High
The main problem is mild stomach discomfort and need advice and I want to know what to do.,Low
The main problem is struggling to breathe during the day and it started recently.,High
For the past few days I have sudden inability to speak and I would like to speak to a doctor.,High
I have been having small cough since this morning and it has not improved.,Low
Symptoms include worsening asthma symptoms without severe breathing difficulty for two days and it is bothering me.,Moderate
I am experiencing minor ankle pain with no improvement and I want to know what to do.,Low
Patient reports dehydration with no improvement and I want to know what to do.,Moderate
Since yesterday I have minor rash with no improvement and it has not improved.,Low
The main problem is slight tiredness for two days and it is bothering me.,Low
