symptoms,urgency,scenario_id
I'm worried about mild indigestion.,Low,L30
I have sudden crushing chest pain with sweating and nausea and need advice.,High,H37
I would like to get checked because I have a mildly hoarse voice.,Low,L27
I have blue lips together with severe brething difficulty and need advice.,High,H13
"For the past couple of days, I have had a small bruise with no major swelling.",Low,L17
I would like to get checked because I have sudden face drooping with weakness in one arm.,High,H08
I need help with a cough that has persisted for more than a week.,Moderate,M26
Can someone help me? I have slight nausea without vomiting.,Low,L12
Been having a deep wound with blood spurting or flowing heavily since yesterday.,High,H23
I've got mild ear discomfort without fever since this morning.,Low,L14
Been having slight tiredness after poor sleep since last night.,Low,L16
"Mild stomach discomfort after eating, and I am not sure what to do.",Low,L11
Symptoms: mild shoulder soreness after carrying bags.,Low,L29
Can someone help me? I have a very high fever with stiff neck and confusion.,High,H28
I have black tar-like stool together with severe weaknes or faintness and need advice.,High,H31
I would like to get checked because I have sudden inability to speak clearly with one-sided weakness.,High,H09
"Persistent diarrhoea for more than a day, and I would like medical advice.",Moderate,M11
I would like to get checked because I have a repeat prescription request with no new symptoms.,Low,L10
I would like to get checked because I have choking and unable to breathe.,High,H10
"Back pain that is making normal movement difficult, and I am concerned about it.",Moderate,M23
"For the past couple of days, I have had thoughts of suicide with an immediate plan to act.",High,H27
Symptoms: recurrent abdominal cramps with vomiting.,Moderate,M38
I have painful urination with feveer and need advice.,Moderate,M07
Been having a small cut with light bleeding that stops with pressure over the last few days.,Low,L36
Symptoms: fever that has continued for three days.,Moderate,M20
I've got a blocked nose.,Low,L03
"For the past couple of days, I have had occasional constipation without severe pain.",Low,L19
I am experiencing blue lips together with severe breathing difficulty.,High,H13
I would like to get checked because I have an allergic rash with swelling but normal breathing.,Moderate,M32
"For the past couple of days, I have had mild stomach discomfort after eating.",Low,L11
"A dry patch of skin, and I would like to speak to a clinician.",Low,L25
The problem is vomiting blood; and I would like to speak to a clinician.,High,H30
I would like to get checked because I have mild stomach discomfort after eating.,Low,L11
"For the past couple of days, I have had vomiting during pregnancy and struggling to keep fluids down.",Moderate,M31
Can someone help me? I have slight loss of appetite for one day but I can drink normally.,Low,L38
Can someone help me? I have black tar-like stool together with severe weakness or faintness.,High,H31
Been having a small bruise with no major swelling since last night.,Low,L17
Symptoms: dizziness that keeps coming back.,Moderate,M04
I have persistent sinus pain with feveer and need advice.,Moderate,M35
I have been having a strong headache with dizziness but no weakness on one side; and I would like medical advice.,Moderate,M13
"For the past couple of days, I have had choking and unable to breathe.",High,H10
"A migraine with nausea and sensitivity to light, and I am concerned about it.",Moderate,M21
I would like to get checked because I have becoming unresponsive after taking an unknown substance.,High,H39
I have been having blue lips together with severe breathing difficulty for several hours.,High,H13
"For the past couple of days, I have had severe abdominal pain together with fainting.",High,H29
I've got I cannot breathe properly; and I am not sure what to do.,High,H03
Symptoms: severe difficulty breathing at rest.,High,H02
Symptoms: worsening fatigue with fever and poor appetite.,Moderate,M40
My main problem is fever that has continued for three days; and it has not improved.,Moderate,M20
Symptoms: an infected cut with increasing redness and swelling.,Moderate,M15
I have worsening fatigue with feveer and poor appetite and need advice.,Moderate,M40
"A major injury with uncontrolled bleeding, and it is bothering me.",High,H22
Symptoms: sudden loss of vision in one or both eyes.,High,H32
Symptoms: minor ankle soreness and I can still walk normally.,Low,L13
I would like to get checked because I have itchy watery eyes.,Low,L06
I have a mildly hoarse voice and need advice.,Low,L27
Symptoms: persistent diarrhoea for more than a day.,Moderate,M11
"Vomiting during pregnancy and struggling to keep fluids down, and I would like to speak to a clinician.",Moderate,M31
"A mild headache, and I would like medical advice.",Low,L01
Been having sudden loss of vision in one or both eyes for two days.,High,H32
I would like to get checked because I have worsening asthma symptoms but I can still speak normally.,Moderate,M12
I have a blocked nose and need advice.,Low,L03
I would like to get checked because I have mild sinus pressure with no fever.,Low,L26
"A mild lower back ache after sitting for a long time, and I would like medical advice.",Low,L08
Symptoms: mild sinus pressure with no fever.,Low,L26
"Severe breathing difficulty with confusion or extreme drowsiness, and it seems to be getting worse.",High,H40
I am dealing with moderate abdominal pain that is not improving since last night.,Moderate,M09
I have minor ankle soreness and I can still walk normally and need advice.,Low,L13
Symptoms: slight tiredness after poor sleep.,Low,L16
I have thoughts of suicide with an immediate plan to act and need advice.,High,H27
"Mild ear discomfort without fever, and it seems to be getting worse.",Low,L14
I would like to get checked because I have fever with body aches and weakness.,Moderate,M10
I am dealing with a mild dry cough without fever since last night.,Low,L05
"A small cut that has already stopped bleeding, and I am not sure what to do.",Low,L09
I would like to get checked because I have black tar-like stool together with severe weakness or faintness.,High,H31
I need help with a painful wrist after a fall with significant swelling; and it has not improved.,Moderate,M33
I would like to get checked because I have a serious burn involving the face or airway.,High,H25
I have a mild lower back ache after sitting for a long time and need advice.,Low,L08
